,name,copy
98,株式会社ワールドコーポレーション | 大阪府緊急雇用対策に賛同,夜勤ナシ！【点検・保守】転職回数不問※全国募集※未経験歓迎 正社員
99,株式会社ワールドコーポレーション | 大阪府緊急雇用対策に賛同,【管理業務スタッフ】※北海道・東北・九州限定※未経験採用 正社員
100,"株式会社リヴトラスト | 年収1,000万も可能！グループ売上178億円不動産総合デベロッパー",【コンサルタント営業】男女問わず活躍！お客様に寄り添う営業！ 正社員
101,株式会社ワールドコーポレーション | 大阪府緊急雇用対策に賛同,同期入社多数！【資材管理】★研修充実！※全国募集※未経験歓迎 正社員
102,日研トータルソーシング株式会社 | ◆家具・家電付の社員寮◆年休最大160日◆残業ほぼなし,＼未経験でも活躍できる／【軽作業スタッフ】★正社員×賞与2回 正社員
103,UTエイム株式会社 | 大阪府緊急雇用対策に賛同,【軽作業スタッフ(梱包・検品等)】未経験OK・高収入も可能！ 正社員
104,小金井不動産株式会社 | 【LIXIL不動産ショップ】不況の波に負けない安定経営を実現！,【賃貸営業】★未経験入社83%★定着率83％★宅建取得率87％ 正社員
105,東京エムケイ株式会社 | 《未経験でも月給30万円以上スタート＆1ヶ月の新人研修あり》,＼未経験歓迎！面接1回／【高級ハイヤードライバー】※学歴不問 正社員
106,東京エムケイ株式会社 | 【平均年収817万円】有給取得率80％超◆男性の育休/時短勤務実績,年収1000万円も可能！【高級車ハイヤーのドライバー】※高卒以上 正社員
107,小金井不動産株式会社 | 【LIXIL不動産ショップ】不況の波に負けない安定経営を実現！,不動産の【売買営業】★平均年収700万/定着率83％/栃木限定募集 正社員
108,西田電工株式会社 | 【大阪府緊急雇用対策に賛同】関西で活躍する電工業界の成長企業,完全週休2日も選べる【電気工事士】※最大月給45万円も可能 正社員
109,株式会社スズキ自販東海 | スズキ(株)100％出資 直営ディーラー/昇給率2.96％~/賞与5.5ヶ月,”販売支援”を行う【法人営業】残業月平均15H 正社員
110,新日本住設EAST株式会社 | ☆年間休日120日以上☆賞与3回☆29歳までの方全員とお会いします,★将来のリーダー候補【営業職】未経験から年収1000万も可能！ 正社員
111,株式会社優誠 | 【大阪府緊急雇用対策に賛同】20代で月収100万円超の先輩も在籍,年収1000万円超も可能！未経験歓迎の【営業スタッフ】週休2日 正社員
112,大東建託株式会社 | 【東証一部・名証一部上場】◎平均年収1021万円 ◎賞与年2回,【提案営業】★業界TOPクラスのインセンティブ・待遇・評価制度 正社員
113,株式会社AZism | 【横浜家系ラーメン 大和家／田田】業績好調★転居伴う転勤無し,【店舗スタッフ】月給26万円以上◆入社支度金あり◆特別賞与も！ 正社員
